Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Acetes,chinensis,25.75,121.75,1212:351:4,0.38
Acetes,chinensis,25.75,122.25,1212:352:3,0.24
Acetes,chinensis,26.25,121.25,1212:361:1,0.24
Acetes,chinensis,26.25,121.75,1212:361:2,0.32
Acetes,chinensis,26.25,122.25,1212:362:1,0.3
Acetes,chinensis,26.75,122.75,1212:362:4,0.34
Acetes,chinensis,28.25,120.75,1212:380:2,0.2
Acetes,chinensis,29.75,124.25,1212:394:3,0.38
Acetes,chinensis,26.25,127.75,1212:467:2,0.2
Acetes,chinensis,26.75,127.25,1212:467:3,0.2
Acetes,chinensis,26.75,127.75,1212:467:4,0.24
Acetes,chinensis,26.75,128.25,1212:468:3,0.23
Acetes,chinensis,27.25,125.25,1212:475:1,0.27
Acetes,chinensis,27.75,125.25,1212:475:3,0.38
Acetes,chinensis,27.75,125.75,1212:475:4,0.28
Acetes,chinensis,27.25,127.75,1212:477:2,0.24
Acetes,chinensis,27.25,128.25,1212:478:1,0.25
Acetes,chinensis,27.25,128.75,1212:478:2,0.23
Acetes,chinensis,27.75,128.25,1212:478:3,0.25
Acetes,chinensis,27.75,128.75,1212:478:4,0.27
Acetes,chinensis,27.75,129.25,1212:479:3,0.25
Acetes,chinensis,28.25,129.25,1212:489:1,0.28
Acetes,chinensis,28.25,129.75,1212:489:2,0.27
Acetes,chinensis,28.75,129.25,1212:489:3,0.26
Acetes,chinensis,28.75,129.75,1212:489:4,0.26
Acetes,chinensis,29.25,129.25,1212:499:1,0.23
Acetes,chinensis,29.25,129.75,1212:499:2,0.23
Acetes,chinensis,29.75,129.75,1212:499:4,0.23
Acetes,chinensis,28.25,130.25,1213:380:1,0.25
Acetes,chinensis,26.75,142.25,1214:362:3,0.24
Acetes,chinensis,27.25,140.75,1214:370:2,0.25
Acetes,chinensis,27.25,142.25,1214:372:1,0.28
Acetes,chinensis,27.75,142.25,1214:372:3,0.31
Acetes,chinensis,38.25,118.25,1311:488:1,0.28
Acetes,chinensis,39.25,117.75,1311:497:2,0.31
Acetes,chinensis,30.25,120.25,1312:100:1,0.37
Acetes,chinensis,30.25,120.75,1312:100:2,0.39
Acetes,chinensis,30.75,121.25,1312:101:3,0.2
Acetes,chinensis,31.75,120.75,1312:110:4,0.37
Acetes,chinensis,31.25,122.25,1312:112:1,0.29
Acetes,chinensis,31.25,124.75,1312:114:2,0.28
Acetes,chinensis,32.25,121.75,1312:121:2,0.24
Acetes,chinensis,33.75,123.25,1312:133:3,0.29
Acetes,chinensis,30.25,129.75,1312:209:2,0.26
Acetes,chinensis,30.75,129.25,1312:209:3,0.36
Acetes,chinensis,30.75,129.75,1312:209:4,0.36
Acetes,chinensis,31.25,125.25,1312:215:1,0.24
Acetes,chinensis,31.75,126.25,1312:216:3,0.22
Acetes,chinensis,32.25,125.25,1312:225:1,0.21
Acetes,chinensis,35.25,122.25,1312:352:1,0.33
Acetes,chinensis,35.75,122.75,1312:352:4,0.29
Acetes,chinensis,36.25,122.75,1312:362:2,0.25
Acetes,chinensis,37.25,121.75,1312:371:2,0.3
Acetes,chinensis,37.75,121.25,1312:371:3,0.39
Acetes,chinensis,37.75,121.75,1312:371:4,0.38
Acetes,chinensis,35.75,125.25,1312:455:3,0.25
Acetes,chinensis,35.25,126.75,1312:456:2,0.2
Acetes,chinensis,35.25,127.75,1312:457:2,0.2
Acetes,chinensis,38.75,125.75,1312:485:4,0.2
Acetes,chinensis,38.75,128.75,1312:488:4,0.25
Acetes,chinensis,39.75,125.75,1312:495:4,0.2
Acetes,chinensis,30.25,130.25,1313:100:1,0.29
Acetes,chinensis,30.25,130.75,1313:100:2,0.33
Acetes,chinensis,30.75,130.25,1313:100:3,0.37
Acetes,chinensis,30.25,131.25,1313:101:1,0.29
Acetes,chinensis,30.75,131.25,1313:101:3,0.35
Acetes,chinensis,33.25,132.75,1313:132:2,0.26
Acetes,chinensis,34.25,137.25,1313:247:1,0.25
Acetes,chinensis,36.25,135.75,1313:465:2,0.21
Acetes,chinensis,37.25,140.75,1314:370:2,0.34
Acetes,chinensis,40.25,121.75,1412:101:2,0.25
Acetes,chinensis,42.75,133.25,1413:123:3,0.39
Acetes,chinensis,42.75,133.75,1413:123:4,0.39
Acetes,chinensis,43.25,132.25,1413:132:1,0.39
Acetes,chinensis,43.25,134.25,1413:134:1,0.36
Acetes,chinensis,43.25,134.75,1413:134:2,0.35
Acetes,chinensis,43.75,135.25,1413:235:3,0.31
Acetes,chinensis,43.75,135.75,1413:235:4,0.36
Acetes,chinensis,44.25,135.75,1413:245:2,0.27
Acetes,chinensis,44.25,136.25,1413:246:1,0.31
Acetes,chinensis,44.75,136.25,1413:246:3,0.25
Acetes,chinensis,44.75,136.75,1413:246:4,0.28
Acetes,chinensis,45.25,136.75,1413:456:2,0.23
Acetes,chinensis,45.25,137.25,1413:457:1,0.25
Acetes,chinensis,45.75,137.75,1413:457:4,0.24
