SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-22822,123,Scomberomorus,guttatus,Indo-Pacific king mackerel,96,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22823,124,Scomberomorus,koreanus,Korean seerfish,31,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22824,125,Scomberomorus,lineolatus,Streaked seerfish,24,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22825,126,Scomberomorus,maculatus,Atlantic Spanish mackerel,159,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-3059,127,Apogonichthyoides,taeniatus,Twobelt cardinal,52,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-29510,129,Scomberomorus,munroi,Australian spotted mackerel,243,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29290,130,Argyropelecus,aculeatus,Lovely hatchetfish,1084,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae
Fis-22826,131,Scomberomorus,niphonius,Japanese Spanish mackerel,40,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29511,132,Scomberomorus,plurilineatus,Kanadi kingfish,49,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29512,133,Scomberomorus,queenslandicus,Queensland school mackerel,295,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22827,134,Scomberomorus,regalis,Cero,122,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22828,135,Scomberomorus,semifasciatus,Broad-barred king mackerel,147,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29513,136,Scomberomorus,sierra,Pacific sierra,155,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22829,137,Scomberomorus,sinensis,Chinese seerfish,17,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22831,138,Somniosus,microcephalus,Greenland shark,175,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae
Fis-29532,139,Squalus,acanthias,Picked dogfish,2108,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae
Fis-171716,140,Pseudobatos,percellens,Chola guitarfish,76,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae
Fis-22830,141,Scomberomorus,tritor,West African Spanish mackerel,137,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22832,142,Thunnus,alalunga,Albacore,8356,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22833,143,Thunnus,albacares,Yellowfin tuna,11264,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22834,144,Thunnus,atlanticus,Blackfin tuna,782,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22835,145,Thunnus,maccoyii,Southern bluefin tuna,774,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22836,146,Thunnus,obesus,Bigeye tuna,10544,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-49220,147,Thunnus,thynnus,Atlantic bluefin tuna,1516,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22838,148,Thunnus,tonggol,Longtail tuna,182,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-171717,149,Pseudobatos,planiceps,Pacific guitarfish,27,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae
Fis-22779,152,Lutjanus,guttatus,Spotted rose snapper,155,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22780,153,Lutjanus,inermis,Golden snapper,40,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22781,154,Lutjanus,jocu,Dog snapper,224,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22782,155,Lutjanus,jordani,Jordan's snapper,50,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22783,156,Lutjanus,kasmira,Common bluestripe snapper,645,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22784,157,Lutjanus,lemniscatus,Yellowstreaked snapper,144,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22785,158,Lutjanus,lunulatus,Lunartail snapper,30,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29439,159,Lutjanus,lutjanus,Bigeye snapper,414,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
